N,Triton,Torch
256.000000,248.507176,266.091747
384.000000,259.159328,281.587612
512.000000,279.777080,285.924153
640.000000,283.829541,293.483989
768.000000,283.775950,297.688402
896.000000,289.026008,299.996664
1024.000000,292.333314,298.132023
1152.000000,293.199164,146.940159
1280.000000,295.511042,161.472161
1408.000000,294.870600,173.948592
1536.000000,271.192988,182.558588
1664.000000,299.568377,196.483964
1792.000000,300.239037,209.368252
1920.000000,300.226312,217.600789
2048.000000,300.165754,230.093819
2176.000000,299.483857,235.429948
2304.000000,300.432074,246.211499
2432.000000,301.346766,253.226855
2560.000000,301.433265,266.905462
2688.000000,301.916939,263.413022
2816.000000,302.485097,271.171899
2944.000000,303.901878,282.901489
3072.000000,304.095501,282.121906
3200.000000,303.218274,287.499259
3328.000000,303.705444,290.778386
3456.000000,302.740429,294.576130
3584.000000,304.288155,297.457698
3712.000000,304.537769,299.406340
3840.000000,305.295936,303.121663
3968.000000,305.352156,305.131273
4096.000000,306.246594,307.296444
4224.000000,304.208416,261.051920
4352.000000,302.811100,273.966333
4480.000000,304.435295,254.323567
4608.000000,303.978998,267.391891
4736.000000,304.570260,268.254358
4864.000000,303.932622,279.158811
4992.000000,304.734434,283.932933
5120.000000,305.151134,293.088064
5248.000000,305.612004,295.411300
5376.000000,294.637530,300.572097
5504.000000,304.339447,303.057764
5632.000000,285.021289,306.479193
5760.000000,305.364938,306.767924
5888.000000,305.470134,308.675399
6016.000000,304.693054,309.775456
6144.000000,305.404156,311.309246
6272.000000,305.727395,311.055013
6400.000000,306.753449,312.244333
6528.000000,306.036428,308.859874
6656.000000,299.656840,312.963137
6784.000000,304.763907,312.778721
6912.000000,306.848185,312.066587
7040.000000,305.322700,311.340100
7168.000000,306.945537,310.810860
7296.000000,307.074519,310.785109
7424.000000,305.943287,308.506998
7552.000000,306.218715,309.315189
7680.000000,305.875280,309.429475
7808.000000,306.470817,308.738133
7936.000000,306.461107,308.089431
8064.000000,306.665853,308.858230
8192.000000,306.589609,309.211096
8320.000000,305.548290,310.059380
8448.000000,305.655534,309.364238
8576.000000,306.047940,309.519677
8704.000000,306.000620,309.720302
8832.000000,305.923322,309.780353
8960.000000,305.906753,305.550563
9088.000000,305.955296,309.864885
9216.000000,305.711366,309.475834
9344.000000,306.569075,309.756659
9472.000000,305.398688,309.624975
9600.000000,305.705328,309.201387
9728.000000,305.491322,309.321927
9856.000000,305.162705,309.108224
9984.000000,304.317079,309.022894
10112.000000,305.589534,309.036391
